Titel,Autor,ISBN
De Bello Gallico,Caesar,978-3-15-009960-5
Timaios,Platon,978-3-15-018285-7
Data Science in der Praxis,Tom Alby,978-3-8362-8462-2
Entwurfsmuster,Matthias Geirhos,978-3-8362-2762-9
Neuronale Netze programmieren mit Python,"Joachim Steinwendner, Roland Schwaiger",978-3-8362-7450-0
PHP 8 und MySQL,"Christian Wenz, Tobias Hauser",978-3-8362-8327-4
Algorithmen in Java,David Kopec,978-3-8362-8452-3
HTML und CSS,Jürgen Wolf,978-3-8362-8117-1
JavaScript,Philip Ackermann,978-3-8362-8629-9
Java ist auch eine Insel,Christian Ullenboom,978-3-8362-8745-6
C von A bis Z,"Jürgen Wolf, Rene Krooß",978-3-8362-3973-8
Blender 3,Andreas Asanger,978-3-8362-7156-1
Python 3,"Johannes Ernesti, Peter Kaiser",978-3-8362-7926-0
Webentwicklung,Philip Ackermann,978-3-8362-6882-0
"Deep Learning mit TensorFlow, Keras und TensorFlow.js","Matthieu Deru, Alassane Ndiaye",978-3-8362-7425-8
Linux,Michael Kofler,978-3-8362-5854-8
C++,Torsten T. Will,978-3-8362-4360-5
Raspberry Pi,"Michael Kofler, Charly Kühnast, Christoph Scherbeck",978-3-8362-5859-3
