Titel,Autor,ISBN,Comment
Timaios,Platon,978-3-15-018285-7,
Data Science in der Praxis,Tom Alby,978-3-8362-8462-2,
Neuronale Netze programmieren mit Python,"Joachim Steinwendner,Roland Schwaiger",978-3-8362-7450-0,
PHP 8 und MySQL,"Christian Wenz,Tobias Hauser",978-3-8362-8327-4,
Algorithmen in Java,David Kopec,978-3-8362-8452-3,
HTML und CSS,Jürgen Wolf,978-3-8362-8117-1,
JavaScript,Philip Ackermann,978-3-8362-8629-9,
Java ist auch eine Insel,Christian Ullenboom,978-3-8362-8745-6,
C von A bis Z,"Jürgen Wolf,Rene Krooß",978-3-8362-3973-8,
Python 3,"Johannes Ernesti,Peter Kaiser",978-3-8362-7926-0,
Webentwicklung,Philip Ackermann,978-3-8362-6882-0,
"Deep Learning mit TensorFlow, Keras und TensorFlow.js","Matthieu Deru,Alassane Ndiaye",978-3-8362-7425-8,
C++,Torsten T. Will,978-3-8362-4360-5,
Handbüchlein der Moral,Epiktet,,
Selbstbetrachtungen,Marcus Aurelius,,
Die Räuber,Friedrich Schiller,978-3-15-000015-1,
Götz von Berlichingen,Johann Wolfgang Goethe,978-3-15-000071-7,
Dantons Tod,Georg Büchner,978-3-15-006060-5,
Woyzeck,Georg Büchner,978-3-12-351611-5,
Death of a Salesman,Arthur Miller,978-3-15-009172-2,
Die Machtergreifung,Guido Knopp,978-3-442-15619-1,
Die Römische Republik,Jochen Bleicken,978-3-486-71305-3,
Die Römer,Reinhard Pohanka,978-3-86539-963-2,
Unterwegs in der Geschichte Deutschlands Von Karl dem Großen bis zur Gegenwart,"Prof. Johannes Fried,Prof. Frank Rexroth,Prof. Hans-Jürgen Goertz,Prof. Georg Schmidt,Prof. Barbara Stollberg-Rilinger,Prof. Hans-Ulrich Wehler,Prof. Heinrich August Winkler,Prof.Wolfgang Benz,Prof. Michael Wildt, Prof. John Röhl,Prof. Manfred Görtemaker,Friedrich Schorlemmer",978-3-406-65937-9,
Mythos Weimar - Zwischen Geist und Macht,Peter Merseburger,978-3-570-55208-7,
Kursbuch Geschichte - Oberstufe Baden-Württemberg,,978-3-06-064761-3,
Kleider machen Leute,Gottfried Keller,978-3-15-007470-1,
Rede für Sextus Roscius aus Ameria,Cicero,978-3-15-001148-5,
Taschenatlas Ernährung,"Hans Konrad Biesalski, Peter Grimm",978-3-13-115355-5,
dtv-Atlas Weltgeschichte Band 1,"Hermann Kinder,Werner Hilgemann",978-3-423-03331-2,
dtv-Atlas Weltgeschichte Band 2,"Hermann Kinder,Werner Hilgemann,Manfred Hergt",978-3-423-03002-1,
Die Zeitdetektive - Marco Polo und der Geheimbund,Fabian Lenk,978-3-473-34528-1,
Die Zeitdetektive - Falsches Spiel in Olympia,Fabian Lenk,978-3-473-34527-4,
Die Zeitdetektive - Das Silber der Kreuzritter,Fabian Lenk,978-3-473-34526-7,
Die Zeitdetektive - Das Teufelskraut,Fabian Lenk,9 783473 345212,
Die Zeitdetektive - Das Grab des Dschingis Khan,Fabian Lenk,9 783473 345205,
Die Zeitdetektive - Der rote Rächer,Fabian Lenk,9 783473 345199,
Die Zeitdetektive - Die Brandstifter von Rom,Fabian Lenk,9 783473 345236,
Die Zeitdetektive - Verschwörung in der Totenstadt,Fabian Lenk,9 783473 345182,
Die Zeitdetektive - Das Rätsel des Orakels,Fabian Lenk,9783473345250,
